Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut. 
"Sat, 23 Mar 2002",6N,4 ,SCO v ,10-22,1:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 23 Mar 2002",6N,4 , v WAL,50-10,5:1,5-0,"Twickenham, London", 
"Sat, 06 Apr 2002",6N,5 ,WAL v ,22-27,1:2,1-4,"Millennium Stadium, Cardiff", 
"Sat, 06 Apr 2002",6N,5 , v IRE,44-5,5:1,5-0,"Stade de France, Paris", 
"Sun, 07 Apr 2002",6N,5 ,ITA v ,9-45,0:6,0-5,"Stadio Flaminio, Rome", 
"Sat, 04 May 2002", ,[ v CHL,57-13,9:1,5-0,Mendoza, 
"Sat, 08 Jun 2002",ST, , v ITA,64-10,9:1,5-0,"Waikato Stadium, Hamilton", 
"Sat, 08 Jun 2002",ST, , v WAL,34-19,5:2,5-0,"Vodacom Park, Bloemfontein", 
"Sat, 15 Jun 2002",ST,1 , v IRE,15-6,2:0,4-0,"Carisbrook, Dunedin", 
"Sat, 15 Jun 2002",ST, , v FRA,28-27,3:3,4-1,"Velez Sarsfield, Buenos Aires", 
"Sat, 15 Jun 2002",ST, , v WAL,19-8,2:1,4-0,"Newlands, Cape Town", 
"Sat, 15 Jun 2002", ,[ v SCO,26-23,2:3,4-1,Vancouver, 
"Sat, 15 Jun 2002",WQ, ,TON v ,16-25,2:4,0-5,Nuku A'lofa, 
"Sat, 22 Jun 2002",ST, ,ARG v ,18-26,0:2,0-4,"Velez Sarsfield, Buenos Aires", 
"Sat, 22 Jun 2002",ST,2 , v IRE,40-8,5:1,5-0,"Eden Park, Auckland", 
"Sat, 22 Jun 2002",ST, , v FRA,29-17,2:1,4-0,"Colonial Stadium, Melbourne", 
"Sat, 22 Jun 2002", ,U['SCO'],23-65,2:10,0-5,San Francisco, 
"Fri, 28 Jun 2002",WQ, , v TON,31-13,3:1,4-0,Apia, 
"Sat, 29 Jun 2002",ST, , v FRA,31-25,4:3,5-1,"Stadium Australia, Sydney", 
"Sat, 29 Jun 2002", ,[ v ARG,49-29,6:2,5-0,Springs, 
"Sat, 29 Jun 2002", ,[ v FIJ,68-18,11:2,5-0,"Westpac Trust, Wellington", 
"Sat, 06 Jul 2002", ,[ v SAM,60-18,8:3,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 13 Jul 2002","3N,BC",a , v AUS,12-6,0:0,4-1,"Jade Stadium, Christchurch", 
"Sat, 20 Jul 2002",3N, , v SAF,41-20,5:2,5-0,"Westpac Trust, Wellington", 
"Sat, 27 Jul 2002",3N, , v SAF,38-27,4:4,5-1,"Woolloongabba, Brisbane", 
"Sat, 03 Aug 2002","3N,BC",a , v NZL,16-14,2:1,4-1,"Stadium Australia, Sydney", 
"Sat, 10 Aug 2002",3N, ,SAF v ,23-30,2:4,1-5,"Kings Park Stadium, Durban", 
"Sat, 17 Aug 2002","3N,MP",s , v AUS,33-31,5:3,5-1,"Ellis Park, Johannesburg", 
"Sat, 07 Sep 2002",WQ, , v ROM,39-8,5:1,5-0,"Thomond Park, Limerick", 
"Sat, 21 Sep 2002",WQ, ,RUS v ,3-35,0:4,0-5,Krasnoyarsk, 
"Sun, 22 Sep 2002",WQ, ,SPA v ,3-50,0:7,0-5,Valladolid, 
"Sat, 28 Sep 2002",WQ, , v GEO,63-14,8:2,5-0,"Lansdowne Rd, Dublin", 
"Sat, 28 Sep 2002",WQ, , v ROM,25-17,1:2,4-0,"Stade Comunale, Parma", 
"Fri, 01 Nov 2002",AI, , v ROM,40-3,4:0,5-0,Wrexham, 
"Sat, 02 Nov 2002", ,A['AUS'],6-17,0:1,0-4,"River Plate, Buenos Aires", 
"Sat, 09 Nov 2002",AI, , v AUS,18-9,0:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 09 Nov 2002",AI, , v ROM,37-10,5:1,5-0,"Murrayfield, Edinburgh", 
"Sat, 09 Nov 2002",AI, , v FIJ,58-14,7:2,5-0,"Millennium Stadium, Cardiff", 
"Sat, 09 Nov 2002",AI, , v NZL,31-28,3:4,4-2,"Twickenham, London", 
"Sat, 09 Nov 2002",AI, , v SAF,30-10,2:1,4-0,Marseille, 
"Sat, 16 Nov 2002","AI,DG", ,FRA v NZL,20-20,2:2,2-2,"Stade de France, Paris", 
"Sat, 16 Nov 2002","AI,CC",e , v AUS,32-31,2:3,4-1,"Twickenham, London", 
"Sat, 16 Nov 2002",AI, ,ITA v ,6-36,0:5,0-5,"Stadio Flaminio, Rome", 
"Sat, 16 Nov 2002",AI, , v SAF,21-6,2:0,4-0,"Murrayfield, Edinburgh", 
"Sat, 16 Nov 2002",AI, , v CAN,32-21,2:0,4-0,"Millennium Stadium, Cardiff", 
"Sun, 17 Nov 2002",AI, , v FIJ,64-17,9:2,5-0,"Lansdowne Rd, Dublin", 
"Sat, 23 Nov 2002",AI, ,ITA v ,3-34,0:5,0-5,Genoa, 
"Sat, 23 Nov 2002",AI, , v ARG,16-7,1:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 23 Nov 2002",AI, ,WAL v ,17-43,2:4,0-5,"Millennium Stadium, Cardiff", 
"Sat, 23 Nov 2002",AI, , v SAF,53-3,7:0,5-0,"Twickenham, London", 
"Sat, 23 Nov 2002",AI, , v CAN,35-3,4:0,5-0,"Stade de France, Paris", 
"Sun, 24 Nov 2002",AI, , v FIJ,36-22,5:2,5-0,"Murrayfield, Edinburgh", 
"Sat, 15 Feb 2003",6N,1 , v WAL,30-22,3:3,4-0,"Stadio Flaminio, Rome", 
"Sat, 15 Feb 2003",6N,1 , v FRA,25-17,1:3,4-0,"Twickenham, London", 
"Sun, 16 Feb 2003",6N,1 ,SCO v ,6-36,0:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 22 Feb 2003",6N,2 ,ITA v ,13-37,1:5,0-5,"Stadio Flaminio, Rome", 
"Sat, 22 Feb 2003",6N,2 ,WAL v ,9-26,0:2,0-4,"Millennium Stadium, Cardiff", 
"Sun, 23 Feb 2003",6N,2 , v SCO,38-3,4:0,5-0,"Stade de France, Paris", 
"Sat, 08 Mar 2003",6N,3 , v FRA,15-12,0:0,4-1,"Lansdowne Rd, Dublin", 
"Sat, 08 Mar 2003",6N,3 , v WAL,30-22,3:3,4-0,"Murrayfield, Edinburgh", 
"Sun, 09 Mar 2003",6N,3 , v ITA,40-5,6:1,5-0,"Twickenham, London", 
"Sat, 22 Mar 2003","6N,CA",4 , v SCO,40-9,4:0,5-0,"Twickenham, London", 
"Sat, 22 Mar 2003",6N,4 ,WAL v ,24-25,3:2,1-4,"Millennium Stadium, Cardiff", 
"Sun, 23 Mar 2003",6N,4 ,ITA v ,27-53,4:7,1-5,"Stadio Flaminio, Rome", 
"Sat, 29 Mar 2003",6N,5 , v ITA,33-25,4:3,5-0,"Murrayfield, Edinburgh", 
"Sat, 29 Mar 2003",6N,5 , v WAL,33-5,3:1,4-0,"Stade de France, Paris", 
"Sun, 30 Mar 2003",6N,5 ,IRE v ,6-42,0:5,0-5,"Lansdowne Rd, Dublin", 
"Sat, 07 Jun 2003",ST, , v SCO,29-25,2:3,4-1,"Kings Park Stadium, Durban", 
"Sat, 07 Jun 2003",ST, , v IRE,45-16,6:1,5-0,"Subiaco Oval, Perth_AUS", 
"Sat, 14 Jun 2003",ST, , v FRA,10-6,1:0,4-1,"Velez Sarsfield, Buenos Aires", 
"Sat, 14 Jun 2003",ST, , v SCO,28-19,1:1,4-0,"Ellis Park, Johannesburg", 
"Sat, 14 Jun 2003",ST, , v WAL,30-10,5:1,5-0,"Stadium Australia, Sydney", 
"Sat, 14 Jun 2003",ST, ,NZL v ,13-15,1:0,1-4,"Westpac Trust, Wellington", 
"Sat, 14 Jun 2003",ST, ,TON v ,19-40,2:6,0-5,Nuku A'lofa, 
"Fri, 20 Jun 2003",ST, , v FRA,33-32,2:2,4-1,"Velez Sarsfield, Buenos Aires", 
"Fri, 20 Jun 2003",ST, ,SAM v ,14-40,2:3,0-4,Apia, 
"Sat, 21 Jun 2003","ST,CC",e ,AUS v ,14-25,1:3,0-4,"Colonial Stadium, Melbourne", 
"Sat, 21 Jun 2003",ST, , v WAL,55-3,8:0,5-0,"Waikato Stadium, Hamilton", 
"Sat, 28 Jun 2003","ST,DG", , v FRA,31-23,3:2,4-0,"Jade Stadium, Christchurch", 
"Sat, 28 Jun 2003", ,[ v ARG,26-25,2:3,4-1,"Boet Erasmus, Pt Elizabeth", 
"Sat, 12 Jul 2003",3N, , v AUS,26-22,2:3,4-1,"Newlands, Cape Town", 
"Sat, 19 Jul 2003",3N, ,SAF v ,16-52,1:7,0-5,"Loftus Versfeld, Pretoria", 
"Sat, 26 Jul 2003","3N,BC",a ,AUS v ,21-50,3:7,0-5,"Stadium Australia, Sydney", 
"Sat, 02 Aug 2003",3N, , v SAF,29-9,2:0,4-0,"Suncorp Stadium, Brisbane", 
"Sat, 09 Aug 2003",3N, , v SAF,19-11,1:1,4-0,"Carisbrook, Dunedin", 
"Sat, 16 Aug 2003",WU, , v WAL,35-12,5:2,5-0,"Lansdowne Rd, Dublin", 
"Sat, 16 Aug 2003","3N,BC",n , v AUS,21-17,2:1,4-1,"Eden Park, Auckland", 
"Mon, 18 Aug 2003",WU, , v FIJ,49-30,7:3,5-0,Cordoba, 
"Fri, 22 Aug 2003",WU, , v ROM,56-8,8:1,5-0,Lens, 
"Sat, 23 Aug 2003",WU, , v ITA,47-15,6:2,5-0,"Murrayfield, Edinburgh", 
"Sat, 23 Aug 2003",WU, ,WAL v ,9-43,1:5,0-5,"Millennium Stadium, Cardiff", 
"Wed, 27 Aug 2003",WU, , v ROM,54-8,6:1,5-0,Wrexham, 
"Sat, 30 Aug 2003",WU, , v ITA,61-6,8:0,5-0,"Thomond Park, Limerick", 
"Sat, 30 Aug 2003",WU, , v SCO,23-9,1:0,4-0,"Millennium Stadium, Cardiff", 
"Sat, 30 Aug 2003",WU, , v ENG,17-16,1:1,4-1,Marseille, 
"Sat, 06 Sep 2003",WU, ,SCO v ,10-29,1:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 06 Sep 2003",WU, , v FRA,45-14,5:1,5-0,"Twickenham, London", 
"Sat, 06 Sep 2003",WU, , v GEO,31-22,4:1,5-0,Asti, 
"Fri, 10 Oct 2003",WC,P['AUS'], v ARG,24-8,2:1,4-0,"Stadium Australia, Sydney", 
"Sat, 11 Oct 2003",WC,P['SAF'], v URU,72-6,12:0,5-0,"Subiaco Oval, Perth_AUS",Y
"Sat, 11 Oct 2003",WC,P['NZL'], v ITA,70-7,11:1,5-0,"Colonial Stadium, Melbourne",Y
"Sat, 11 Oct 2003",WC,P['IRE'], v ROM,45-17,5:2,5-0,Gosford,Y
"Sat, 11 Oct 2003",WC,P['FRA'], v FIJ,61-18,7:2,5-0,"Suncorp Stadium, Brisbane",Y
"Sun, 12 Oct 2003",WC,P['SCO'], v JAP,32-11,5:1,5-0,Townsville,Y
"Sun, 12 Oct 2003",WC,P['ENG'], v GEO,84-6,12:0,5-0,"Subiaco Oval, Perth_AUS",Y
"Sun, 12 Oct 2003",WC,P['WAL'], v CAN,41-10,5:1,5-0,"Colonial Stadium, Melbourne",Y
"Tue, 14 Oct 2003",WC,P['ARG'], v NAM,67-14,8:2,5-0,Gosford,Y
"Wed, 15 Oct 2003",WC,P['ITA'], v TON,36-12,3:2,4-0,"Bruce Stadium, Canberra",Y
"Wed, 15 Oct 2003",WC,P['FIJ'], v USA,19-18,1:2,4-1,"Suncorp Stadium, Brisbane",Y
"Wed, 15 Oct 2003",WC,P['SAM'], v URU,60-13,10:2,5-0,"Subiaco Oval, Perth_AUS",Y
"Fri, 17 Oct 2003",WC,P['NZL'], v CAN,68-6,10:0,5-0,"Colonial Stadium, Melbourne",Y
"Sat, 18 Oct 2003",WC,P['AUS'], v ROM,90-8,13:1,5-0,"Suncorp Stadium, Brisbane", 
"Sat, 18 Oct 2003",WC,P['FRA'], v JAP,51-29,6:2,5-0,Townsville,Y
"Sat, 18 Oct 2003",WC,P['ENG'], v SAF,25-6,1:0,4-0,"Subiaco Oval, Perth_AUS",Y
"Sun, 19 Oct 2003",WC,P['IRE'], v NAM,64-7,10:1,5-0,"Football Stadium, Sydney",Y
"Sun, 19 Oct 2003",WC,P['WAL'], v TON,27-20,2:3,4-1,"Bruce Stadium, Canberra",Y
"Sun, 19 Oct 2003",WC,P['SAM'],GEO v ,9-46,0:6,0-5,"Subiaco Oval, Perth_AUS",Y
"Mon, 20 Oct 2003",WC,P['SCO'], v USA,39-15,5:0,5-0,"Suncorp Stadium, Brisbane",Y
"Tue, 21 Oct 2003",WC,P['ITA'], v CAN,19-14,1:1,4-1,"Bruce Stadium, Canberra",Y
"Wed, 22 Oct 2003",WC,P['ARG'], v ROM,50-3,7:0,5-0,"Football Stadium, Sydney",Y
"Thu, 23 Oct 2003",WC,P['FIJ'], v JAP,41-13,5:1,5-0,Townsville,Y
"Fri, 24 Oct 2003",WC,P['SAF'], v GEO,46-19,7:1,5-0,"Football Stadium, Sydney",Y
"Fri, 24 Oct 2003",WC,P['NZL'], v TON,91-7,13:1,5-0,"Suncorp Stadium, Brisbane",Y
"Sat, 25 Oct 2003",WC,P['AUS'], v NAM,142-0,22:0,5-0,Adelaide, 
"Sat, 25 Oct 2003",WC,P['FRA'], v SCO,51-9,5:0,5-0,"Stadium Australia, Sydney",Y
"Sat, 25 Oct 2003",WC,P['WAL'], v ITA,27-15,3:0,4-0,"Bruce Stadium, Canberra",Y
"Sun, 26 Oct 2003",WC,P['ENG'], v SAM,35-22,4:1,5-0,"Colonial Stadium, Melbourne",Y
"Sun, 26 Oct 2003",WC,P['IRE'], v ARG,16-15,1:0,4-1,Adelaide,Y
"Mon, 27 Oct 2003",WC,P['USA'], v JAP,39-26,5:2,5-0,Gosford,Y
"Tue, 28 Oct 2003",WC,P['URU'],GEO v ,12-24,0:3,0-4,"Football Stadium, Sydney",Y
"Wed, 29 Oct 2003",WC,P['CAN'], v TON,24-7,2:1,4-0,Wollongong,Y
"Thu, 30 Oct 2003",WC,P['ROM'],NAM v ,7-37,1:5,0-5,"Launceston, Tasmania",Y
"Fri, 31 Oct 2003",WC,P['FRA'], v USA,41-14,5:2,5-0,Wollongong,Y
"Sat, 01 Nov 2003",WC,P['AUS'], v IRE,17-16,1:1,4-1,"Colonial Stadium, Melbourne", 
"Sat, 01 Nov 2003",WC,P['SCO'], v FIJ,22-20,1:2,4-1,"Football Stadium, Sydney",Y
"Sat, 01 Nov 2003",WC,P['SAF'], v SAM,60-10,8:1,5-0,"Suncorp Stadium, Brisbane",Y
"Sun, 02 Nov 2003",WC,P['NZL'], v WAL,53-37,8:4,5-1,"Stadium Australia, Sydney",Y
"Sun, 02 Nov 2003",WC,P['ENG'], v URU,111-13,17:1,5-0,"Suncorp Stadium, Brisbane",Y
"Sat, 08 Nov 2003",WC,Q['AUS'], v SCO,33-16,3:1,4-0,"Suncorp Stadium, Brisbane", 
"Sat, 08 Nov 2003",WC,Q['NZL'], v SAF,29-9,3:0,4-0,"Colonial Stadium, Melbourne",Y
"Sun, 09 Nov 2003",WC,Q['FRA'], v IRE,43-21,4:3,5-0,"Colonial Stadium, Melbourne",Y
"Sun, 09 Nov 2003",WC,Q['ENG'], v WAL,28-17,1:3,4-0,"Suncorp Stadium, Brisbane",Y
"Sat, 15 Nov 2003",WC,Semi , v NZL,22-10,1:1,4-0,"Stadium Australia, Sydney", 
"Sun, 16 Nov 2003",WC,Semi , v FRA,24-7,0:1,4-0,"Stadium Australia, Sydney",Y
"Thu, 20 Nov 2003",WC,3&4 , v FRA,40-13,6:1,5-0,"Stadium Australia, Sydney",Y
"Sat, 22 Nov 2003",WC,F['ENG'],AUS v ,17-20,1:1,1-4,"Stadium Australia, Sydney", 
"Sat, 14 Feb 2004",6N,1 , v SCO,23-10,3:1,4-0,"Millennium Stadium, Cardiff", 
"Sat, 14 Feb 2004",6N,1 , v IRE,35-17,4:2,5-0,"Stade de France, Paris", 
"Sun, 15 Feb 2004",6N,1 ,ITA v ,9-50,0:7,0-5,"Stadio Flaminio, Rome", 
"Sat, 21 Feb 2004","6N,CA",2 ,SCO v ,13-35,1:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 21 Feb 2004",6N,2 , v ITA,25-0,3:0,4-0,"Stade de France, Paris", 
"Sun, 22 Feb 2004",6N,2 , v WAL,36-15,6:2,5-0,"Lansdowne Rd, Dublin", 
"Sat, 06 Mar 2004",6N,3 , v SCO,20-14,1:1,4-1,"Stadio Flaminio, Rome", 
"Sat, 06 Mar 2004",6N,3 ,ENG v ,13-19,1:1,1-4,"Twickenham, London", 
"Sun, 07 Mar 2004",6N,3 ,WAL v ,22-29,1:2,1-4,"Millennium Stadium, Cardiff", 
"Sat, 20 Mar 2004",6N,4 , v ITA,19-3,3:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 20 Mar 2004",6N,4 , v WAL,31-21,2:3,4-0,"Twickenham, London", 
"Sun, 21 Mar 2004",6N,4 ,SCO v ,0-31,0:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 27 Mar 2004",6N,5 , v SCO,37-16,5:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 27 Mar 2004",6N,5 , v ITA,44-10,6:1,5-0,"Millennium Stadium, Cardiff", 
"Sat, 27 Mar 2004",6N,5 , v ENG,24-21,2:2,4-1,"Stade de France, Paris", 
"Sat, 29 May 2004",WQ, , v TON,24-14,0:1,4-0,Apia, 
"Fri, 04 Jun 2004",ST, , v SAM,38-3,5:0,5-0,"Westpac Trust, Wellington",Y
"Sat, 12 Jun 2004",ST,1 , v ENG,36-3,3:0,4-0,"Carisbrook, Dunedin", 
"Sat, 12 Jun 2004",ST, , v WAL,50-44,6:5,5-2,Tucuman, 
"Sat, 12 Jun 2004",ST, , v IRE,31-17,4:1,5-0,"Vodacom Park, Bloemfontein", 
"Sun, 13 Jun 2004","ST,HC",1 , v SCO,35-15,4:0,5-0,"Colonial Stadium, Melbourne", 
"Sat, 19 Jun 2004",ST, ,ARG v ,20-35,3:4,0-5,"Velez Sarsfield, Buenos Aires", 
"Sat, 19 Jun 2004",ST, , v IRE,26-17,2:2,4-0,"Newlands, Cape Town", 
"Sat, 19 Jun 2004","ST,HC",2 , v SCO,34-13,5:1,5-0,"Stadium Australia, Sydney", 
"Sat, 19 Jun 2004",ST,2 , v ENG,36-12,5:0,5-0,"Eden Park, Auckland", 
"Sat, 26 Jun 2004","ST,CC",e , v ENG,51-15,6:2,5-0,"Suncorp Stadium, Brisbane", 
"Sat, 26 Jun 2004",ST, , v WAL,53-18,7:2,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 26 Jun 2004", ,[ v ARG,41-7,5:1,5-0,"Waikato Stadium, Hamilton", 
"Sat, 26 Jun 2004", ,[ v ITA,25-24,3:4,4-2,Bucharest, 
"Sat, 03 Jul 2004", ,[ v PAC,29-14,5:2,5-0,Adelaide, 
"Sat, 03 Jul 2004", ,U['FRA'],31-39,5:5,1-5,Hartford Connecticut, 
"Sun, 04 Jul 2004", ,J['ITA'],19-32,1:4,0-5,"Prince Chichibu Stadium, Tokyo", 
"Sat, 10 Jul 2004", ,C['FRA'],13-47,1:5,0-5,"York Stadium, Toronto", 
"Sat, 10 Jul 2004", ,[ v PAC,41-26,6:4,5-1,Albany, 
"Sat, 17 Jul 2004","3N,BC",n , v AUS,16-7,1:1,4-0,"Westpac Trust, Wellington", 
"Sat, 17 Jul 2004", ,[ v PAC,38-24,4:4,5-1,Gosford,Y
"Sat, 24 Jul 2004",3N, , v SAF,23-21,1:3,4-1,"Jade Stadium, Christchurch", 
"Sat, 31 Jul 2004",3N, , v SAF,30-26,4:3,5-1,"Subiaco Oval, Perth_AUS", 
"Sat, 07 Aug 2004","3N,BC",n , v NZL,23-18,1:0,4-1,"Stadium Australia, Sydney", 
"Sat, 14 Aug 2004","3N,FC",s , v NZL,40-26,5:2,5-0,"Ellis Park, Johannesburg", 
"Sat, 21 Aug 2004",3N, , v AUS,23-19,2:3,4-1,"Kings Park Stadium, Durban", 
"Sat, 06 Nov 2004","AI,HC",1 ,SCO v ,14-31,2:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 06 Nov 2004",AI, ,WAL v ,36-38,3:4,1-5,"Millennium Stadium, Cardiff", 
"Sat, 06 Nov 2004",AI, , v CAN,51-6,6:0,5-0,L'Aquila, 
"Fri, 12 Nov 2004",AI, , v ROM,66-7,10:1,5-0,"Millennium Stadium, Cardiff", 
"Sat, 13 Nov 2004",AI, ,ITA v ,10-59,1:9,0-5,"Stadio Flaminio, Rome", 
"Sat, 13 Nov 2004",AI, , v SAF,17-12,1:0,4-1,"Lansdowne Rd, Dublin", 
"Sat, 13 Nov 2004",AI, , v JAP,100-8,15:1,5-0,"McDiarmid Park, Perth_SCO", 
"Sat, 13 Nov 2004",AI, , v CAN,70-0,12:0,5-0,"Twickenham, London", 
"Sat, 13 Nov 2004",AI, , v AUS,27-14,2:1,4-0,"Stade de France, Paris", 
"Sat, 20 Nov 2004",AI, , v USA,55-6,7:0,5-0,"Lansdowne Rd, Dublin", 
"Sat, 20 Nov 2004","AI,HC",2 ,SCO v ,17-31,1:4,0-5,"Hampden Park, Glasgow", 
"Sat, 20 Nov 2004",AI, ,WAL v ,25-26,2:3,1-4,"Millennium Stadium, Cardiff", 
"Sat, 20 Nov 2004",AI, , v SAF,32-16,2:1,4-0,"Twickenham, London", 
"Sat, 20 Nov 2004",AI, ,FRA v ,14-24,1:2,0-4,Marseille, 
"Fri, 26 Nov 2004",AI, , v JAP,98-0,14:0,5-0,"Millennium Stadium, Cardiff", 
"Sat, 27 Nov 2004","AI,CC",a ,ENG v ,19-21,3:2,1-4,"Twickenham, London", 
"Sat, 27 Nov 2004",AI, , v ARG,21-19,0:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 27 Nov 2004",AI, ,SCO v ,10-45,1:5,0-5,"Murrayfield, Edinburgh", 
"Sat, 27 Nov 2004",AI, , v USA,43-25,5:3,5-0,"Stadio Lamarmora, Biella", 
"Sat, 27 Nov 2004","AI,DG", ,FRA v ,6-45,0:5,0-5,"Stade de France, Paris", 
"Sat, 04 Dec 2004", ,A['SAF'],7-39,1:5,0-5,"Velez Sarsfield, Buenos Aires", 
"Sat, 05 Feb 2005",6N,1 , v SCO,16-9,1:0,4-1,"Stade de France, Paris", 
"Sat, 05 Feb 2005",6N,1 , v ENG,11-9,1:0,4-1,"Millennium Stadium, Cardiff", 
"Sun, 06 Feb 2005",6N,1 ,ITA v ,17-28,1:3,0-4,"Stadio Flaminio, Rome", 
"Sat, 12 Feb 2005",6N,2 ,ITA v ,8-38,1:6,0-5,"Stadio Flaminio, Rome", 
"Sat, 12 Feb 2005",6N,2 ,SCO v ,13-40,2:5,0-5,"Murrayfield, Edinburgh", 
"Sun, 13 Feb 2005",6N,2 ,ENG v ,17-18,2:0,1-4,"Twickenham, London", 
"Sat, 26 Feb 2005",6N,3 , v ITA,18-10,0:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 26 Feb 2005",6N,3 ,FRA v ,18-24,2:2,1-4,"Stade de France, Paris", 
"Sun, 27 Feb 2005",6N,3 , v ENG,19-13,1:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 12 Mar 2005",6N,4 ,IRE v ,19-26,1:2,1-4,"Lansdowne Rd, Dublin", 
"Sat, 12 Mar 2005",6N,4 , v ITA,39-7,6:1,5-0,"Twickenham, London", 
"Sun, 13 Mar 2005",6N,4 ,SCO v ,22-46,3:6,0-5,"Murrayfield, Edinburgh", 
"Sat, 19 Mar 2005",6N,5 ,ITA v ,13-56,1:7,0-5,"Stadio Flaminio, Rome", 
"Sat, 19 Mar 2005",6N,5 , v IRE,32-20,2:2,4-0,"Millennium Stadium, Cardiff", 
"Sat, 19 Mar 2005","6N,CA",5 , v SCO,43-22,7:3,5-0,"Twickenham, London", 
"Sat, 23 Apr 2005", ,[ v JAP,68-36,9:4,5-1,"Cricket & Rugby, Buenos Aires", 
"Mon, 23 May 2005", ,LIO v ARG,25-25,1:1,2-2,"Millennium Stadium, Cardiff", 
"Sat, 04 Jun 2005",TO, ,USA v ,3-77,0:11,0-5,Hartford Connecticut, 
"Sun, 05 Jun 2005", ,R['SCO'],19-39,1:6,0-5,Bucharest, 
"Fri, 10 Jun 2005", ,[ v FIJ,91-0,15:0,5-0,Albany, 
"Sat, 11 Jun 2005", ,[ v URU,134-3,21:0,5-0,East_London, 
"Sat, 11 Jun 2005", ,[ v SAM,74-7,12:1,5-0,"Stadium Australia, Sydney", 
"Sat, 11 Jun 2005",TO, ,CAN v ,3-60,0:9,0-5,"York Stadium, Toronto", 
"Sat, 11 Jun 2005",ST,1 , v ITA,35-21,2:0,4-0,Salta, 
"Sun, 12 Jun 2005",TO,1 ,JAP v ,12-44,0:4,0-5,"Nagai Stadium, Osaka", 
"Fri, 17 Jun 2005",ST,2 ,ARG v ,29-30,2:3,1-4,Cordoba, 
"Sat, 18 Jun 2005",ST,1 ,SAF v FRA,30-30,3:4,2-3,"Kings Park Stadium, Durban", 
"Sun, 19 Jun 2005",TO,2 ,JAP v ,18-47,2:7,0-5,"Prince Chichibu Stadium, Tokyo", 
"Sat, 25 Jun 2005",ST,2 , v FRA,27-13,3:1,4-0,"Boet Erasmus, Pt Elizabeth", 
"Sat, 25 Jun 2005",ST, , v ITA,69-21,11:3,5-0,"Colonial Stadium, Melbourne", 
"Sat, 25 Jun 2005",LT,1 , v LIO,21-3,2:0,4-0,"Jade Stadium, Christchurch", 
"Sat, 02 Jul 2005", ,[ v ARG,22-15,1:2,4-1,Calgary, 
"Sat, 02 Jul 2005",LT,2 , v LIO,48-18,5:2,5-0,"Westpac Trust, Wellington", 
"Sat, 02 Jul 2005",ST, , v FRA,37-31,6:4,5-2,"Suncorp Stadium, Brisbane", 
"Sat, 09 Jul 2005",LT,3 , v LIO,38-19,5:1,5-0,"Eden Park, Auckland", 
"Sat, 09 Jul 2005",MP,s , v SAF,30-12,5:0,5-0,"Stadium Australia, Sydney", 
"Sat, 23 Jul 2005",MP,s , v AUS,33-20,3:3,4-0,"Ellis Park, Johannesburg", 
"Sat, 30 Jul 2005",3N, , v AUS,22-16,1:1,4-1,"Loftus Versfeld, Pretoria", 
"Sat, 06 Aug 2005",3N, , v NZL,22-16,1:1,4-1,"Newlands, Cape Town", 
"Sat, 13 Aug 2005","3N,BC",n ,AUS v ,13-30,1:3,0-4,"Stadium Australia, Sydney", 
"Sat, 20 Aug 2005",3N, ,AUS v ,19-22,1:2,1-4,"Subiaco Oval, Perth_AUS", 
"Sat, 27 Aug 2005",3N, , v SAF,31-27,4:3,5-1,"Carisbrook, Dunedin", 
"Sat, 03 Sep 2005","3N,BC",n , v AUS,34-24,4:4,5-1,"Eden Park, Auckland", 
"Sat, 05 Nov 2005","AI,GS",1 ,WAL v ,3-41,0:5,0-5,"Millennium Stadium, Cardiff", 
"Sat, 05 Nov 2005", ,A['SAF'],23-34,3:3,0-4,"Velez Sarsfield, Buenos Aires", 
"Sat, 05 Nov 2005",AI, , v AUS,26-16,2:1,4-0,Marseille, 
"Fri, 11 Nov 2005",AI, , v FIJ,11-10,1:1,4-1,"Millennium Stadium, Cardiff", 
"Sat, 12 Nov 2005","AI,GS",2 ,IRE v ,7-45,1:5,0-5,"Lansdowne Rd, Dublin", 
"Sat, 12 Nov 2005","AI,CC",e , v AUS,26-16,2:1,4-0,"Twickenham, London", 
"Sat, 12 Nov 2005",AI, , v TON,48-0,7:0,5-0,"Stadio Lungobisenzio, Prato", 
"Sat, 12 Nov 2005",AI, , v CAN,50-6,7:0,5-0,Nantes, 
