Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,GfM,Opposition,Ground,Match Date
Spain,won,76,6,11,9,1,0,0,v Slovenia,Ljubliana,27 Mar 2005
Venezuela,won,70,0,-,-,-,-,-,v Costa Rica,Caracas,14 Oct 2006
Japan,won,73,3,13,4,0,0,0,v Hong Kong,Tokyo,29 Apr 2007
Namibia,won,80,10,12,10,0,0,0,v Zambia,Windhoek,26 May 2007
Korea,won,87,17,13,8,2,0,0,v Kazakhstan,Almaty,19 May 2012
Colombia,won,75,5,13,5,0,0,0,v ,Lima,2 Oct 2016
Japan,won,80,10,12,10,0,0,0,v Korea,Tokyo,29 Apr 2017
Italy,won,85,15,13,10,0,0,0,v Russia,San Benedetto del Tronto,17 Aug 2019
Romania,won,69,0,12,9,0,1,0,v Italy,Bucharest,1 May 1977
United States of America,won,74,5,11,8,1,0,0,v Japan,San Francisco,6 Jul 1996
Croatia,won,74,5,-,-,-,-,-,v Bosnia & Her,Zenica,10 Oct 1998
Ireland,won,78,9,11,10,1,0,0,v Japan,Lansdowne Road,11 Nov 2000
Namibia,won,82,13,12,11,0,0,0,v Uganda,Windhoek,31 Aug 2003
Paraguay,won,76,7,-,-,-,-,-,v Colombia,Sao Paulo,10 Oct 2004
Cook Islands,won,87,18,-,-,-,-,-,v Tahiti,Pukekohe,18 Oct 2006
Chinese Taipei,won,72,3,-,-,-,-,-,v Pakistan,Bangkok,16 May 2007
Romania,won,76,7,11,9,0,1,0,v Czech Rep,Bucharest,22 Mar 2008
Portugal,won,69,0,9,9,2,0,0,v Germany,Heusenstamm,27 Feb 2010
Cyprus,won,79,10,12,8,1,0,0,v Bulgaria,Paphos,16 Mar 2013
Chile,won,68,0,16,10,0,0,0,v Brazil,Buenos Aires,9 Sep 1951
Argentina,won,75,7,14,8,1,0,0,v Paraguay,Montevideo,12 Oct 1989
Sweden,won,72,4,-,-,-,-,-,v Finland,Karlstad,28 Sep 1991
Kenya,won,76,8,-,-,-,-,-,v Cameroon,Nairobi,13 Jul 2008
Argentina,won,71,3,11,8,0,0,0,v Chile,Santiago,8 Nov 2008
Uruguay,won,71,3,10,9,1,0,0,v Brazil,Montevideo,29 Apr 2009
Chile,won,71,3,11,8,0,0,0,v Paraguay,Cataratas,17 May 2011
Portugal,won,68,0,10,9,0,0,0,v Brazil,Sao Paulo,15 Nov 2013
Costa Rica,won,71,3,11,8,0,0,0,v ,Tres Rios,1 Dec 2013
New Zealand,won,74,6,12,7,0,0,0,v USA,Chicago,1 Nov 2014
Lebanon,won,71,3,9,7,4,0,0,v Jordan,Jounieh,14 Apr 2015
Romania,won,70,3,-,-,-,-,-,v Bulgaria,Birlad,20 May 1963
Samoa,won,74,7,13,8,1,1,0,v Korea,Tokyo,8 Apr 1990
Croatia,won,77,10,-,-,-,-,-,v Slovenia,Zagreb,23 Apr 1994
Sweden,won,84,17,13,8,1,0,0,v Lithuania,Plunge,3 May 1997
Tonga,won,82,15,12,8,2,0,0,v Korea,Seoul,4 May 1999
France,won,77,10,12,7,1,0,0,v Fiji,Saint-Etienne,24 Nov 2001
Australia,won,74,7,12,7,0,0,0,v Samoa,Sydney,11 Jun 2005
Tonga,won,77,10,13,6,0,0,0,v Cook Islands,Raratonga,24 Jun 2006
Japan,won,67,0,11,6,0,0,0,v Hong Kong,Tokyo,19 May 2012
Cyprus,won,72,5,12,6,0,0,0,v Greece,Paphos,26 May 2012
Finland,won,77,10,12,7,1,0,0,v Estonia,Tartu,9 Jun 2018
Kenya,won,67,0,11,6,0,0,0,v Tunisia,Nairobi,11 Aug 2018
Korea,won,69,3,-,-,-,-,-,v Sri Lanka,Fukuoka,21 Oct 1984
New Zealand,won,73,7,10,7,3,0,0,v Canada,Auckland,22 Apr 1995
Russia,won,66,0,-,-,-,-,-,v Norway,Hundested,25 May 1995
New Zealand,won,71,5,11,8,0,0,0,v Fiji,North Shore City,14 Jun 1997
Russia,won,71,5,4,0,0,0,0,v Ukraine,Krasnoyarsk,18 Sep 1999
Namibia,won,79,13,13,7,0,0,0,v Germany,Gera,17 Oct 1999
Luxembourg,won,78,12,-,-,-,-,-,v Norway,Luxembourg City,15 Apr 2000
Japan,won,90,24,13,11,1,0,0,v Korea,Tokyo,16 Jun 2002
South Africa,won,72,6,12,6,0,0,0,v Uruguay,Perth,11 Oct 2003
Lithuania,won,66,0,11,4,1,0,0,v Bulgaria,Siauliai,15 May 2004
Canada,won,69,3,11,7,0,0,0,v Barbados,Bridgetown,24 Jun 2006
Philippines,won,86,20,14,8,0,0,0,v Malaysia,Ansan,4 Jun 2011
Wales,won,66,0,9,9,1,0,0,v Fiji,Hamilton,2 Oct 2011
Paraguay,won,69,3,11,7,0,0,0,v Peru,Valencia,12 Sep 2012
Zambia,won,69,3,11,7,0,0,0,v Mauritius,Lusaka,23 Apr 2017
Italy,won,76,11,11,9,1,0,0,v Croatia,Perpignan,17 Jun 1993
Australia,won,74,9,10,9,2,0,0,v Canada,Brisbane,29 Jun 1996
Romania,won,83,18,13,9,0,0,0,v Belgium,Brussels,4 Oct 1997
Georgia,won,65,0,11,5,0,0,0,v Ukraine,Tbilisi,26 Feb 2005
